('edilirse', 'ADV')
('islamiyet', 'ADV')
('bunu', 'PROPN')
('da', 'PROPN')
('temin', 'PROPN')
('etmişdir', 'PROPN')
('nazarı', 'PROPN')
('islamda', 'ADJ')
('\n ', 'SPACE')
('eğer', 'PROPN')
('talaka', 'PROPN')
('hükm', 'PROPN')
('olunur', 'VERB')
('ise', 'PROPN')
('o', 'PROPN')
('kadının', 'PROPN')
('hali', 'VERB')
('töhmette', 'PROPN')
('\n ', 'SPACE')
('muhtelit', 'ADJ')
('birinci', 'PROPN')
('meclisin', 'PROPN')
('hali', 'VERB')
('batıl', 'PROPN')
('bir', 'PROPN')
('teamülün', 'PROPN')
('tahakküme', 'PROPN')
('\n ', 'SPACE')
('emr', 'PROPN')
('ediyor', 'PROPN')
('kendisinden', 'PROPN')
('adalet', 'PROPN')
('istiyor', 'PROPN')
('emanetleri', 'PROPN')
('yerine', 'PROPN')
('getirecek', 'NOUN')
('\n ', 'SPACE')
('zevcatın', 'NOUN')
('meşruiyeti', 'PROPN')
('zaruret', 'VERB')
('hükmünü', 'PROPN')
('alır', 'PROPN')
('bir', 'PROPN')
('de', 'PROPN')
('hacı', 'PROPN')
('zihni', 'PROPN')
('\n ', 'SPACE')
('temekkün', 'PROPN')
('edecek', 'PROPN')
('kadar', 'PROPN')
('bir', 'PROPN')
('zaman', 'PROPN')
('iki', 'PROPN')
('hutbe', 'PROPN')
('arasında', 'PROPN')
('\n ', 'SPACE')
('tercümanın', 'PROPN')
('fransa', 'PROPN')
('tebeasından', 'PROPN')
('olan', 'PROPN')
('tarafın', 'PROPN')
('hamisi', 'PROPN')
('\n ', 'SPACE')
('mizanı', 'PROPN')
('imamı', 'PROPN')
('şarani', 'PROPN')
('de', 'NOUN')
('\n ', 'SPACE')
('biz', 'PROPN')
('kol', 'PROPN')
('kola', 'PROPN')
('verip', 'PROPN')
('el', 'PROPN')
('birliğiyle', 'PROPN')
('çalışdık', 'PROPN')
('birbirimizi', 'PROPN')
('çekememezlikden', 'PROPN')
('\n ', 'SPACE')
('hayvaniyete', 'ADJ')
('mahsus', 'PROPN')
('havayici', 'PROPN')
('temin', 'PROPN')
('ile', 'PROPN')
('iktifa', 'PROPN')
('ederek', 'PROPN')
('ruhun', 'PROPN')
('\n ', 'SPACE')
('fakat', 'VERB')
('zulmetten', 'NOUN')
('füturdan', 'PROPN')
('beri', 'PROPN')
('olan', 'PROPN')
('o', 'PROPN')
('meşiyyeti', 'PROPN')
('ulviyye', 'PROPN')
('\n ', 'SPACE')
('dehalet', 'PROPN')
('eden', 'PROPN')
('birkaç', 'PROPN')
('müslüman', 'PROPN')
('görünceye', 'PROPN')
('kadar', 'PROPN')
('\n ', 'SPACE')
('hakkında', 'PROPN')
('böyle', 'PROPN')
('bir', 'PROPN')
('isnadda', 'NOUN')
('bulunuyorsunuz', 'NOUN')
('hazreti', 'NOUN')
('\n ', 'SPACE')
('ve', 'AUX')
('maişetçe', 'ADJ')
('icrasını', 'PROPN')
('zaruri', 'PROPN')
('gördükleri', 'PROPN')
('bir', 'PROPN')
('fiili', 'PROPN')
('terk', 'PROPN')
('\n ', 'SPACE')
('yafeti', 'PRON')
('edebiyyenize', 'VERB')
('ve', 'AUX')
('elfazı', 'NOUN')
('şairanenize', 'VERB')
('kurban', 'PROPN')
('ediyorsunuz', 'PROPN')
('\n ', 'SPACE')
('kavaidi', 'PROPN')
('esasiyyei', 'PROPN')
('islamiyyeye', 'PROPN')
('yabancı', 'PROPN')
('kalanları', 'PROPN')
('da', 'PROPN')
('bu', 'PROPN')
('tefrika', 'PROPN')
('\n ', 'SPACE')
('yukarıda', 'PROPN')
('dünyanın', 'PROPN')
('alam', 'PROPN')
('ve', 'VERB')
('ekdarına', 'PROPN')
('nihayet', 'PROPN')
('yok', 'PROPN')
('demiş', 'PROPN')
('\n ', 'SPACE')
('gibi', 'PROPN')
('bundan', 'PROPN')
('da', 'PROPN')
('iraz', 'PROPN')
('ve', 'VERB')
('teami', 'PROPN')
('eylemişlerdir', 'PROPN')
('bu', 'PROPN')
('kelamı', 'PROPN')
('\n ', 'SPACE')
('kavmi', 'VERB')
('arab', 'ADJ')
('gerek', 'PROPN')
('islamiyetin', 'PROPN')
('intişar', 'PROPN')
('ettiği', 'PROPN')
('akvamı', 'PROPN')
('saire', 'PROPN')
('arasında', 'PROPN')
('\n ', 'SPACE')
('şerif', 'PROPN')
('bir', 'PROPN')
('taraftan', 'PROPN')
('valii', 'PROPN')
('mekke', 'PROPN')
('diğer', 'PROPN')
('taraftan', 'PROPN')
('senebesene', 'PROPN')
('\n ', 'SPACE')
('müstebidanesini', 'PROPN')
('icra', 'PROPN')
('sahai', 'PROPN')
('cevr', 'PROPN')
('ü', 'PROPN')
('zulmünü', 'PROPN')
('tevsi', 'PROPN')
('etmek', 'PROPN')
('\n ', 'SPACE')
('çok', 'PROPN')
('geçmeden', 'PROPN')
('muhammed', 'VERB')
('sa', 'PROPN')
('haniflerin', 'PROPN')
('efkarına', 'PROPN')
('\n ', 'SPACE')
('sırrına', 'PROPN')
('mazhar', 'PROPN')
('olmakta', 'ADV')
('\n \n ', 'SPACE')
('sonra', 'ADJ')
('bu', 'PROPN')
('hakayıka', 'PROPN')
('bir', 'PROPN')
('başkası', 'PROPN')
('da', 'PROPN')
('vakıf', 'PROPN')
('oluyor', 'PROPN')
('lisanı', 'PROPN')
('\n ', 'SPACE')
('saireyi', 'VERB')
('tayin', 'PROPN')
('edecektir', 'PROPN')
('\n ', 'SPACE')
('camii', 'NOUN')
('musavvir', 'PROPN')
('gümüş', 'PROPN')
('bir', 'PROPN')
('hediye', 'PROPN')
('vermişlerdir', 'PROPN')
('\n ', 'SPACE')
('nabit', 'PROPN')
('bırakarak', 'PROPN')
('hiçbir', 'PROPN')
('terbiyei', 'NOUN')
('ictimaiyye', 'ADJ')
('ve', 'VERB')
('ahlakıyye', 'PROPN')
('\n ', 'SPACE')
('ki', 'PROPN')
('resulullah', 'PROPN')
('sallallahu', 'PROPN')
('aleyhi', 'PROPN')
('ve', 'AUX')
('sellem', 'NOUN')
('ensardan', 'PROPN')
('bir', 'PROPN')
('zatı', 'PROPN')
('\n ', 'SPACE')
('mihrab', 'PROPN')
('zineti', 'PROPN')
('menabir', 'NOUN')
('teemmülatıyla', 'VERB')
('pürşath', 'PROPN')
('u', 'PROPN')
('pürveleh', 'NOUN')
('\n ', 'SPACE')
('yani', 'PROPN')
('anasırı', 'PROPN')
('kabul', 'PROPN')
('ettikten', 'PROPN')
('sonra', 'PROPN')
('hiçbir', 'PROPN')
('gayet', 'PROPN')
('takīb', 'NOUN')
